,Rank,Company,Symbol,Weight
0,1,Boeing Company,BA,7.716503
1,2,Goldman Sachs Group Inc.,GS,7.115126
2,3,3M Company,MMM,6.729987
3,4,UnitedHealth Group Incorporated,UNH,6.198450
4,5,Apple Inc.,AAPL,5.091834
5,6,McDonald's Corporation,MCD,4.969689
6,7,Home Depot Inc.,HD,4.798743
7,8,International Business Machines Corporation,IBM,4.407760
8,9,Johnson & Johnson,JNJ,4.083987
9,10,Caterpillar Inc.,CAT,4.024084
10,11,Travelers Companies Inc.,TRV,3.899307
11,12,United Technologies Corporation,UTX,3.517968
12,13,Chevron Corporation,CVX,3.420076
13,14,Visa Inc. Class A,V,3.270462
14,15,JPMorgan Chase & Co.,JPM,2.944936
15,16,Walt Disney Company,DIS,2.940845
16,17,American Express Company,AXP,2.813731
17,18,Wal-Mart Stores Inc.,WMT,2.591941
18,19,Procter & Gamble Company,PG,2.514504
19,20,Microsoft Corporation,MSFT,2.468334
20,21,Exxon Mobil Corporation,XOM,2.447295
21,22,DowDuPont Inc.,DWDP,2.052514
22,23,NIKE Inc. Class B,NKE,1.637569
23,24,Merck & Co. Inc.,MRK,1.632893
24,25,Intel Corporation,INTC,1.364641
25,26,Verizon Communications Inc.,VZ,1.330452
26,27,Coca-Cola Company,KO,1.328698
27,28,Pfizer Inc.,PFE,1.032101
28,29,Cisco Systems Inc.,CSCO,1.005509
29,30,General Electric Company,GE,0.588227
